100
12,2
13,2
13,3
14,3
14,4
15,4
17,6
15,6
18,7
19,8
17,8
19,9
20,10
21,10
10,11
20,11
13,12
23,12
11,12
1,12
15,14
5,14
5,15
24,15
17,16
31,20
31,21
20,21
30,21
32,22
33,22
31,22
33,23
23,24
14,25
27,26
35,26
28,27
19,28
37,28
28,29
18,29
38,29
41,31
42,32
41,32
32,33
42,33
24,34
35,34
25,34
33,34
23,34
46,35
24,35
44,35
37,36
35,36
47,37
38,37
48,38
47,38
49,39
38,39
31,40
51,41
52,41
40,41
53,42
51,42
44,43
42,43
52,43
33,44
55,45
54,45
37,46
48,47
36,47
58,49
60,50
50,51
63,52
61,52
54,53
55,54
47,56
55,56
58,57
68,57
66,57
48,58
68,58
67,58
69,59
58,59
48,59
68,59
61,60
51,60
50,61
73,63
54,63
74,63
72,63
75,64
63,64
73,64
75,65
56,65
64,65
74,65
57,67
78,67
66,67
69,68
67,68
77,68
80,70
81,71
70,71
83,72
72,73
75,74
73,74
83,74
85,75
86,75
66,76
77,76
67,76
85,76
67,77
88,77
88,78
79,78
87,78
69,79
68,79
90,80
81,80
91,81
82,81
72,82
73,82
71,82
93,83
84,83
94,83
82,83
92,83
95,85
96,85
84,85
76,86
96,86
95,86
97,87
88,87
99,88
79,89
99,89
91,90
80,91
94,93
92,93
96,95
97,96
98,99
,97
99,98
